Wall time,Step,Value
1531317598.0370984,1999,0.8707805275917053
1531317618.5612829,2000,0.655367374420166
1531317621.8486798,2003,0.5254175662994385
1531317624.0282054,2005,0.597264289855957
1531317626.2523587,2007,0.729238748550415
1531317631.7328637,2012,0.6219844818115234
1531317635.0135732,2015,0.6653555631637573
1531317637.2158153,2017,0.6496043801307678
1531317640.526018,2020,0.6728604435920715
1531317643.8402665,2023,0.7201666831970215
1531317647.128453,2026,0.658936619758606
1531317649.3443773,2028,0.6890303492546082
1531317652.6743,2031,0.5943705439567566
1531317656.1185176,2034,0.6738677024841309
1531317657.248469,2035,0.584949791431427
1531317660.671808,2038,0.5087596774101257
1531317664.0756752,2041,0.6604251861572266
1531317674.4218054,2050,0.5666600465774536
1531317676.7490287,2052,0.7001394033432007
1531317682.573726,2057,0.6969254016876221
1531317688.391102,2062,0.6457471251487732
1531317689.552818,2063,0.6443594098091125
1531317690.7148583,2064,0.7730191946029663
1531317693.0160594,2066,0.5569928884506226
1531317694.1764507,2067,0.6852046847343445
1531317696.4605553,2069,0.6729461550712585
1531317698.7500231,2071,0.718949019908905
1531317702.3149087,2074,0.696868360042572
1531317703.4909797,2075,0.6428585052490234
1531317708.1546893,2079,0.6245241165161133
1531317713.979929,2084,0.6464870572090149
1531317716.3277547,2086,0.659235954284668
1531317724.446629,2093,0.7148109078407288
1531317726.756295,2095,0.5947933197021484
1531317727.8931122,2096,0.6016016602516174
1531317731.436015,2099,0.674887478351593
1531317733.7942224,2101,0.636860191822052
1531317738.5009878,2105,0.6902160048484802
1531317741.9984267,2108,0.7420128583908081
1531317744.3413095,2110,0.8559899926185608
1531317746.6487489,2112,0.6726866960525513
1531317747.8172836,2113,0.7067396640777588
1531317753.5353734,2118,0.5957350730895996
1531317758.1731594,2122,0.6436501145362854
1531317759.3352423,2123,0.6078720688819885
1531317760.4983313,2124,0.6873153448104858
1531317765.1690478,2128,0.7191612720489502
1531317766.321531,2129,0.7248578667640686
1531317768.6607416,2131,0.6787222623825073
1531317769.8113637,2132,0.6903346180915833
1531317772.1231012,2134,0.7476513981819153
1531317773.280105,2135,0.7281368374824524
1531317774.4396513,2136,0.647474467754364
1531317776.7709012,2138,0.6964590549468994
1531317777.93903,2139,0.5978325009346008
1531317780.2543414,2141,0.6587786674499512
1531317786.012102,2146,0.6436951160430908
1531317787.1714623,2147,0.6780816316604614
1531317794.1542923,2153,0.6351322531700134
1531317795.3097882,2154,0.7157682180404663
1531317796.468415,2155,0.7431185841560364
1531317801.1486754,2159,0.586030900478363
1531317803.4820228,2161,0.7414193749427795
1531317805.7983973,2163,0.6721537113189697
1531317810.45748,2167,0.6423038840293884
1531317822.0903172,2177,0.9108278751373291
1531317824.4074361,2179,0.7947543859481812
1531317826.6941006,2181,0.6859411597251892
1531317827.838519,2182,0.8494749069213867
1531317832.5271711,2186,0.7165772914886475
1531317834.8959637,2188,0.7445156574249268
1531317836.0531383,2189,0.681506335735321
1531317837.22411,2190,0.7135530114173889
1531317840.7296553,2193,0.7785214185714722
1531317845.4023125,2197,0.6267160773277283
1531317873.9140456,2200,0.5620409846305847
1531317877.2311678,2203,0.5258207321166992
1531317888.3948104,2213,0.5172404050827026
1531317889.5025914,2214,0.45192021131515503
1531317893.963273,2218,0.6191272735595703
1531317896.210212,2220,0.5567161440849304
1531317899.615167,2223,0.6981717348098755
1531317901.9079673,2225,0.4459439218044281
1531317903.026394,2226,0.6028196811676025
1531317905.257174,2228,0.582841694355011
1531317906.3666315,2229,0.5589898228645325
1531317907.495742,2230,0.6838675141334534
1531317908.6399865,2231,0.5713184475898743
1531317910.8865585,2233,0.5558905601501465
1531317913.1694863,2235,0.5634539127349854
1531317914.31325,2236,0.6906585097312927
1531317918.9858274,2240,0.4745625853538513
1531317920.147847,2241,0.555163562297821
1531317922.4490275,2243,0.5413224101066589
1531317925.9337585,2246,0.5745164155960083
1531317931.8044622,2251,0.6060539484024048
1531317945.985154,2263,0.605183482170105
1531317950.6938102,2267,0.5244583487510681
1531317954.2929852,2270,0.6859008073806763
1531317960.266637,2275,0.5630027651786804
1531317962.6174524,2277,0.5516995787620544
1531317966.1742623,2280,0.6067382097244263
1531317973.2536182,2286,0.5082899928092957
1531317974.4199936,2287,0.5197038054466248
1531317976.7855415,2289,0.6126070022583008
1531317980.462433,2292,0.6077983379364014
1531317984.100907,2295,0.6601083278656006
1531317985.3423204,2296,0.6252147555351257
1531317986.56313,2297,0.574647843837738
1531317997.3777163,2306,0.5600552558898926
1531317998.5795045,2307,0.612313449382782
1531317999.7785697,2308,0.5651541352272034
1531318000.9624527,2309,0.5161393880844116
1531318003.309603,2311,0.5949584245681763
1531318005.665872,2313,0.5960806608200073
1531318009.2357914,2316,0.5654382109642029
1531318015.4030466,2321,0.5771177411079407
1531318017.811682,2323,0.5790271759033203
1531318018.997147,2324,0.6005020141601562
1531318020.1843956,2325,0.5695969462394714
1531318021.3453572,2326,0.5564690232276917
1531318030.801261,2334,0.6197978258132935
1531318042.131686,2343,0.6216587424278259
1531318048.0154269,2348,0.6502413153648376
1531318057.7910395,2356,0.6094075441360474
1531318059.0003688,2357,0.6326648592948914
1531318062.5867982,2360,0.6434523463249207
1531318067.4033089,2364,0.6412745714187622
1531318075.8793979,2371,0.7122586369514465
1531318079.4661367,2374,0.658710777759552
1531318083.0313046,2377,0.656101405620575
1531318084.2428722,2378,0.5953628420829773
1531318085.447391,2379,0.6499886512756348
1531318087.8056836,2381,0.7882825136184692
1531318097.3483794,2389,0.6325635313987732
1531318099.7310328,2391,0.6664331555366516
1531318102.1285105,2393,0.7973304986953735
1531318104.4902532,2395,0.6639994978904724
1531318139.9103806,2404,0.39885377883911133
1531318148.827919,2412,0.5070115923881531
1531318149.9441104,2413,0.5035017728805542
1531318151.069066,2414,0.4844070076942444
1531318155.5316632,2418,0.4924648404121399
1531318162.276049,2424,0.5709467530250549
1531318171.4465222,2432,0.5414646863937378
1531318178.4860675,2438,0.5059856176376343
1531318179.647802,2439,0.49962276220321655
1531318180.8125505,2440,0.5149150490760803
1531318181.9786294,2441,0.49126073718070984
1531318184.299923,2443,0.4634268283843994
1531318186.6105344,2445,0.49855342507362366
1531318190.2852547,2448,0.49409857392311096
1531318199.896153,2456,0.45206353068351746
1531318208.152623,2463,0.3937605023384094
1531318212.8484316,2467,0.5313847064971924
1531318215.1793,2469,0.5123785734176636
1531318219.9457397,2473,0.4479142725467682
1531318221.137931,2474,0.4557775557041168
1531318223.5367143,2476,0.5429067015647888
1531318229.55,2481,0.48880258202552795
1531318233.0858285,2484,0.5193135738372803
1531318235.4504237,2486,0.46827271580696106
1531318239.0169377,2489,0.47770142555236816
1531318240.2100427,2490,0.47534307837486267
1531318241.3856368,2491,0.49434274435043335
1531318253.242179,2501,0.5906819105148315
1531318254.4242048,2502,0.6125763058662415
1531318256.8026094,2504,0.5176090002059937
1531318258.010013,2505,0.5243955254554749
1531318259.1993349,2506,0.5130084156990051
1531318260.4037147,2507,0.5383884906768799
1531318265.2832024,2511,0.43264609575271606
1531318267.6833253,2513,0.5801436901092529
1531318271.2695448,2516,0.505619466304779
1531318273.6804028,2518,0.5349014401435852
1531318276.0811286,2520,0.4529411792755127
1531318278.5115244,2522,0.49975812435150146
1531318289.4569921,2531,0.5677444934844971
1531318294.2749498,2535,0.5625606179237366
1531318296.650966,2537,0.6092647314071655
1531318299.0353372,2539,0.5273447036743164
1531318301.4236608,2541,0.5882607102394104
1531318304.999224,2544,0.5217342376708984
1531318308.5876079,2547,0.5295459628105164
1531318315.8192222,2553,0.5004887580871582
1531318317.0272794,2554,0.5393137335777283
1531318321.8538554,2558,0.5885053873062134
1531318325.4740343,2561,0.5082799792289734
1531318329.1242845,2564,0.4888998568058014
1531318331.5485466,2566,0.5315805077552795
1531318337.5573425,2571,0.6527189612388611
1531318342.3939276,2575,0.5353701710700989
1531318345.962986,2578,0.5978922247886658
1531318347.1581583,2579,0.6015169620513916
1531318348.3584578,2580,0.5504496693611145
1531318349.5559063,2581,0.5377426147460938
1531318353.1225822,2584,0.47831445932388306
1531318357.8747709,2588,0.6157640218734741
1531318365.0305007,2594,0.5619857907295227
1531318366.2251132,2595,0.5872397422790527
1531318369.7976968,2598,0.5297726392745972
1531318399.4517438,2602,0.3431988060474396
1531318402.8041286,2605,0.33430612087249756
